outcome,family,arm,comparison,estimate,se,df_satterthwaite,t,p_unadjusted,p_bonferroni,ci_lo_bonferroni,ci_hi_bonferroni,bonferroni_m,ci_level,sig_unadjusted,sig_bonferroni,scoring,improvement,n_subj,N_obs,model
BS_RJA,Behavioural sample,Control,T3 - T2,1.3376205351398731,0.7773803573225483,75.62459549004132,1.7206770437921828,0.08939879584871994,0.2681963875461598,-0.5657157947373141,3.2409568650170604,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_RJA,Behavioural sample,Control,T3 - T1,0.9285714285714057,0.753240099942873,74.00202599938807,1.232769509538632,0.22156376567015743,0.6646912970104722,-0.9165783836076482,2.7737212407504597,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_RJA,Behavioural sample,Intervention,T2 - T1,1.8655778833425458,0.7843066630222294,74.83860261238301,2.37863322001342,0.019928685822754415,0.059786057468263244,-0.05517475852678988,3.7863305252118815,3,98.33% per-comparison (= 95% familywise over 3),True,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_RJA,Behavioural sample,Intervention,T3 - T2,-0.021754334624599636,0.7968294465477258,75.76684267892473,-0.027301117847552674,0.9782913469991732,1.0,-1.9726266206759855,1.9291179514267862,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_RJA,Behavioural sample,Intervention,T3 - T1,1.8438235487179462,0.7843066630222295,74.83860261238306,2.350896193604933,0.021363761815102147,0.06409128544530644,-0.0769290931513893,3.764576190587282,3,98.33% per-comparison (= 95% familywise over 3),True,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_EC,Behavioural sample,Control,T2 - T1,1.2634419161849486,0.9327403781851126,74.93750140462011,1.3545483242006755,0.17963158395156148,0.5388947518546845,-1.0207530024052334,3.5476368347751306,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_EC,Behavioural sample,Control,T3 - T2,-0.33487048761352156,0.9327403781851124,74.93750137185823,-0.3590178954888805,0.720591295134921,1.0,-2.619065406226586,1.949324430999543,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_EC,Behavioural sample,Control,T3 - T1,0.928571428571427,0.9021746117332007,73.69792755970967,1.0292590996187694,0.3067241256237981,0.9201723768713943,-1.2816225804392425,3.1387654375820966,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_EC,Behavioural sample,Intervention,T2 - T1,2.0268505488369044,0.9402463527090499,74.33908062767367,2.1556590387158816,0.03434690558977087,0.1030407167693126,-0.27615061453177603,4.329851712205585,3,98.33% per-comparison (= 95% familywise over 3),True,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_EC,Behavioural sample,Intervention,T3 - T2,-1.0167641506386715,0.9562320439218,75.05764434335174,-1.0633027381812168,0.2910537154028588,0.8731611462085764,-3.3584020969553205,1.3248737956779775,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_EC,Behavioural sample,Intervention,T3 - T1,1.0100863981982329,0.9402463527090498,74.33908062820176,1.0742784540327746,0.2861725219176258,0.8585175657528774,-1.2929147651700696,3.3130875615665354,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_T,Behavioural sample,Control,T2 - T1,3.4654231203617627,2.661876903891417,75.60982019805496,1.3018720419774616,0.19691250467701835,0.590737514031055,-3.051939256816464,9.98278549753999,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
