outcome,family,contrast,scoring,unadj_estimate,unadj_se,unadj_df,unadj_t,unadj_p,unadj_ci_lo,unadj_ci_hi,unadj_d,adj_estimate,adj_se,adj_df,adj_t,adj_p,adj_ci_lo,adj_ci_hi,adj_d,unadj_F,unadj_num_df,unadj_den_df,adj_F,adj_num_df,adj_den_df
CJARS_sjas,C-JARS,Group difference at T1,higher = better,0.025638528138527183,0.35558801170232635,50.41019530205693,0.07210177872922775,0.9428062240850548,-0.6884370450066886,0.7397141012837429,0.019748401912582095,0.041344610889818334,0.3262272000184741,52.02599727316545,0.12673563359363355,0.8996381925189569,-0.61327037164858,0.6959595934282167,0.03184621162181717,,,,,,
CJARS_sjas,C-JARS,Group difference at T2,higher = better,0.9072291331749067,0.35958167392673623,52.38152356746888,2.523012708817169,0.014708772857972155,0.18580078960283453,1.6286574767469788,0.6988047617998221,0.9247508977767602,0.33051803018313464,54.306453129582955,2.7978833628663793,0.007103359022103326,0.2621877735268623,1.5873140220266582,0.7123011235139363,,,,,,
CJARS_sjas,C-JARS,Group difference at T3,higher = better,0.954400390913533,0.358410294418304,51.773793265500665,2.6628710329387006,0.010299465368377786,0.2351227160149424,1.6736780658121235,0.7351390221563882,0.9676484004536681,0.32923367347792987,53.5815741137921,2.939093046685379,0.0048479140509051985,0.30745655493358937,1.6278402459737467,0.7453434697567619,,,,,,
CJARS_sjas,C-JARS,Treatment difference in change T1->T2,higher = better,0.8815906050363795,0.21949788484361096,76.43324331778193,4.016396812500038,0.00013704771655637834,0.44446274992865464,1.3187184601441044,0.67905635988724,0.8834062868869419,0.21899396445239186,77.08223205266523,4.033929834988625,0.0001280687080025182,0.447341016566368,1.3194715572075157,0.6804549118921192,,,,,,
CJARS_sjas,C-JARS,Treatment difference in change T1->T3,higher = better,0.9287618627750058,0.21757362057906005,76.3529795002658,4.2687245829855565,5.589857712518342e-05,0.49545883696829507,1.3620648885817166,0.7153906202438061,0.9263037895638497,0.21708196589822226,76.99133695431217,4.267069287543408,5.58117976032583e-05,0.49403759460346564,1.3585699845242338,0.7134972581349448,,,,,,
CJARS_sjas,C-JARS,Omnibus Group x Time (2 df),,,,,,4.2474212417266184e-05,,,,,,,,4.071382629738457e-05,,,,11.521451850809278,2.0,76.2157571352532,11.563756015364913,2.0,76.83217263037648
BS_RJA,Behavioural sample,Group difference at T1,higher = better,-0.1047619047619257,0.9381137654484983,92.50015856929643,-0.11167292136667517,0.9113247196776592,-1.9678025971859698,1.7582787876621184,-0.03129610129277589,-0.08231191108308522,0.9159235208961265,93.79999836125975,-0.08986766821159088,0.9285839895764246,-1.9009500863255733,1.7363262641594028,-0.024589490929096056,,,,,,
BS_RJA,Behavioural sample,Group difference at T2,higher = better,2.1471541191143295,0.9680360622114631,96.09917350448598,2.2180517884934883,0.028906612494405678,0.2256430295122811,4.068665208716378,0.6414311858467189,2.192315078827928,0.9464106609526272,97.16140053830087,2.3164522223589628,0.0226346464784646,0.3139913011209241,4.070638856534932,0.6549223682845301,,,,,,
BS_RJA,Behavioural sample,Group difference at T3,higher = better,0.7910579949521157,0.9485226445256101,93.80605576438103,0.8339895726451022,0.4064055674243081,-1.0923067148015324,2.674422704705764,0.23631711541273173,0.8329402090634552,0.9265228372723096,95.01890117611737,0.8989958752831584,0.37092741671233886,-1.0064354641672975,2.6723158822942077,0.2488288201032194,,,,,,
BS_RJA,Behavioural sample,Treatment difference in change T1->T2,higher = better,2.2519160238762552,1.1040789838299625,75.27441110910891,2.0396330850031554,0.04489634995417542,0.052609316078915835,4.451222731673594,0.6727272871394948,2.274626989911013,1.1043399999302794,75.21833505439288,2.0597162015815944,0.04288599106443736,0.07477356076805997,4.474480419053966,0.6795118592136262,,,,,,
