outcome,model,quantity,term,spss,python,abs_diff,rel_diff
CJARS_ss,B_verbal_adjusted,EMM contrast estimate,group diff at T1,0.3750082191929,0.3750082189726598,2.2024021495425927e-10,5.872943676495e-10
CJARS_ss,B_verbal_adjusted,EMM contrast SE,group diff at T1,2.4395489021666,2.439548948745201,4.6578600976232565e-08,1.9093120426840148e-08
CJARS_ss,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T1,54.370478983952,54.37291852283379,0.0024395388817950447,4.4868813506592424e-05
CJARS_ss,B_verbal_adjusted,EMM contrast p,group diff at T1,0.87839941100926,0.8783993879101224,2.30991376026779e-08,2.6296850058377817e-08
CJARS_ss,B_verbal_adjusted,EMM contrast CI lower,group diff at T1,-4.5152296954646,-4.51522479905947,4.896405130239145e-06,1.0844199432771767e-06
CJARS_ss,B_verbal_adjusted,EMM contrast CI upper,group diff at T1,5.2652461338504,5.26524123700479,4.896845610780076e-06,9.300316616346066e-07
CJARS_ss,B_verbal_adjusted,EMM contrast estimate,group diff at T2,-6.0979216625065,-6.097921665720149,3.213648902544719e-09,5.270072461415937e-10
CJARS_ss,B_verbal_adjusted,EMM contrast SE,group diff at T2,2.4771322103188,2.4771322560444826,4.5725682795705325e-08,1.845912083546827e-08
CJARS_ss,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T2,57.048207514236,57.050879130012405,0.002671615776407066,4.683084522402184e-05
CJARS_ss,B_verbal_adjusted,EMM contrast p,group diff at T2,0.0168749415405,0.0168747957942658,1.4574623419943977e-07,8.636843798815398e-06
CJARS_ss,B_verbal_adjusted,EMM contrast CI lower,group diff at T2,-11.058202509794,-11.058197574777012,4.93501698883847e-06,4.4627659734641656e-07
CJARS_ss,B_verbal_adjusted,EMM contrast CI upper,group diff at T2,-1.1376408152189,-1.1376457566632867,4.941444386785676e-06,4.343589224895087e-06
CJARS_ss,B_verbal_adjusted,EMM contrast estimate,group diff at T3,-6.0377473812798,-6.037747387251392,5.9715921096881175e-09,9.890430540706624e-10
CJARS_ss,B_verbal_adjusted,EMM contrast SE,group diff at T3,2.4657751079257,2.465775153940732,4.601503178491839e-08,1.8661487674611133e-08
CJARS_ss,B_verbal_adjusted,EMM contrast df (Satterthwaite),group diff at T3,56.178837636696,56.18143292087868,0.0025952841826750728,4.6196829479786774e-05
CJARS_ss,B_verbal_adjusted,EMM contrast p,group diff at T3,0.01748695916105,0.0174868107390675,1.484219824994526e-07,8.487581010084582e-06
CJARS_ss,B_verbal_adjusted,EMM contrast CI lower,group diff at T3,-10.976941508635,-10.976936588139626,4.9204953747050695e-06,4.4825741039381203e-07
CJARS_ss,B_verbal_adjusted,EMM contrast CI upper,group diff at T3,-1.0985532539242,-1.0985581863631575,4.9324389574945116e-06,4.489940692337933e-06
CJARS_ps,A_unadjusted,EMM contrast estimate,group diff at T1,2.350649350649,2.3506493506492703,2.7045032879868813e-13,1.1505345479282924e-13
CJARS_ps,A_unadjusted,EMM contrast SE,group diff at T1,7.9083040150873,7.90830412418178,1.0909448011631184e-07,1.3794927446919546e-08
CJARS_ps,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T1,51.303702414616,51.31160126660623,0.00789885199023388,0.00015396261124389266
CJARS_ps,A_unadjusted,EMM contrast p,group diff at T1,0.76748494951945,0.767484768374275,1.8114517497114235e-07,2.360244003280636e-07
CJARS_ps,A_unadjusted,EMM contrast CI lower,group diff at T1,-13.523651809679,-13.52359305558013,5.875409886968441e-05,4.344543892178115e-06
CJARS_ps,A_unadjusted,EMM contrast CI upper,group diff at T1,18.224950510977,18.22489175687867,5.875409832967193e-05,3.223827592523995e-06
CJARS_ps,A_unadjusted,EMM contrast estimate,group diff at T2,20.36857415409,20.3685741343563,1.9733697342871892e-08,9.688305717221436e-10
CJARS_ps,A_unadjusted,EMM contrast SE,group diff at T2,7.9985489371514,7.998549052537398,1.1538599853366804e-07,1.4425866421561406e-08
CJARS_ps,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T2,53.313802592527,53.32206957745224,0.008266984925242582,0.00015506275154346928
CJARS_ps,A_unadjusted,EMM contrast p,group diff at T2,0.013802814108882,0.0138023419230504,4.721858316014682e-07,3.4209388598345346e-05
